	Pyridine	Aldehyde	Isocyanide	Temperature	Solvent_V	Catalyst	Time
56	0.1	0.1	0.1	10	0.25	3.0	10
57	0.1	0.1	0.1	10	0.25	3.0	15
58	0.1	0.1	0.1	10	0.25	3.0	30
59	0.1	0.1	0.1	10	0.25	3.0	60
60	0.1	0.1	0.1	10	0.25	4.0	5
61	0.1	0.1	0.1	10	0.25	4.0	10
62	0.1	0.1	0.1	10	0.25	4.0	15
63	0.1	0.1	0.1	10	0.25	4.0	30
64	0.1	0.1	0.1	10	0.25	4.0	60
65	0.1	0.1	0.1	10	0.25	5.0	5
66	0.1	0.1	0.1	10	0.25	5.0	10
67	0.1	0.1	0.1	10	0.25	5.0	15
68	0.1	0.1	0.1	10	0.25	5.0	30
69	0.1	0.1	0.1	10	0.25	5.0	60
70	0.1	0.1	0.1	10	0.25	7.5	5
71	0.1	0.1	0.1	10	0.25	7.5	10
72	0.1	0.1	0.1	10	0.25	7.5	15
73	0.1	0.1	0.1	10	0.25	7.5	30
74	0.1	0.1	0.1	10	0.25	7.5	60
75	0.1	0.1	0.1	10	0.25	10.0	5
76	0.1	0.1	0.1	10	0.25	10.0	10
77	0.1	0.1	0.1	10	0.25	10.0	15
78	0.1	0.1	0.1	10	0.25	10.0	30
79	0.1	0.1	0.1	10	0.25	10.0	60
80	0.1	0.1	0.1	10	0.5	0.0	5
81	0.1	0.1	0.1	10	0.5	0.0	10
82	0.1	0.1	0.1	10	0.5	0.0	15
83	0.1	0.1	0.1	10	0.5	0.0	30
84	0.1	0.1	0.1	10	0.5	0.0	60
85	0.1	0.1	0.1	10	0.5	1.0	5
86	0.1	0.1	0.1	10	0.5	1.0	10
87	0.1	0.1	0.1	10	0.5	1.0	15
88	0.1	0.1	0.1	10	0.5	1.0	30
89	0.1	0.1	0.1	10	0.5	1.0	60
90	0.1	0.1	0.1	10	0.5	2.0	5
91	0.1	0.1	0.1	10	0.5	2.0	10
92	0.1	0.1	0.1	10	0.5	2.0	15
